Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08GA022,1,1,2001,19,42.1,,25.2,,163,,105,,160,,279,,379,,313,,212,,118,,230,,97.5,
08GA022,1,1,2001,20,38.7,,24.1,,106,,88.2,,186,,380,,344,,273,,185,,111,,663,,78.3,
08GA022,1,1,2001,21,44.4,,25.4,,85.2,,81.5,,191,,420,,362,,436,,202,,103,,434,,67.7,
08GA022,1,1,2001,22,42.5,,37.5,,71.9,,92.6,,325,,492,,427,,1150,,214,,131,,303,,54.9,
08GA022,1,1,2001,23,43.9,,35.6,,65.2,,108,,479,,443,,463,,794,,241,,205,,224,,52.7,
08GA022,1,1,2001,24,37.8,,25.2,,59.4,,139,,577,,381,,463,,741,,272,,149,,166,,48.5,
08GA022,1,1,2001,25,38.2,,23.5,,100,,282,,542,,334,,433,,486,,267,,117,,150,,44.1,
08GA022,1,1,2001,26,33.0,,22.8,,188,,321,,497,,303,,401,,381,,382,,299,,128,,40.9,
08GA022,1,1,2001,27,31.5,,22.7,,120,,369,,493,,404,,419,,360,,365,,301,,106,,43.2,
08GA022,1,1,2001,28,30.7,,22.8,,91.2,,375,,462,,745,,478,,327,,212,,172,,103,,61.4,
08GA022,1,1,2001,29,38.8,,,,77.1,,266,,356,,556,,402,,351,,242,,134,,86.0,,52.9,
08GA022,1,1,2001,30,38.6,,,,60.5,,216,,248,,423,,339,,320,,271,,103,,76.8,,46.4,
08GA022,1,1,2001,31,46.6,,,,59.0,,,,217,,,,319,,400,,,,152,,,,44.7,
08GA022,1,1,2002,01,42.9,,68.1,,35.2,,97.6,,307,,377,,489,,295,,370,,115,,31.8,,119,
08GA022,1,1,2002,02,114,A,58.9,,33.8,,108,,364,,400,,409,,260,,437,,97.4,,30.8,,109,
08GA022,1,1,2002,03,252,,44.7,,33.0,,71.8,,285,,439,,362,,241,,458,,133,,30.2,,92.6,
